register,sample_number,prompt_word_count,reference_word_count
academic,1,1120,1092
academic,2,1137,1090
academic,3,1141,1092
academic,4,1119,1085
academic,5,1134,1099
academic,6,1113,1118
academic,7,1137,1100
academic,8,1147,1084
academic,9,1136,1096
academic,10,1130,1105
academic,11,1139,1096
academic,12,1109,1118
academic,13,1098,1133
academic,14,1145,1085
academic,15,1134,1070
blog,1,1145,1093
blog,2,1129,1091
blog,3,1123,1106
blog,4,1138,1088
blog,5,1123,1090
blog,6,1132,1102
blog,7,1125,1104
blog,8,1139,1098
blog,9,1136,1093
blog,10,1125,1089
blog,11,1148,1089
blog,12,1151,1086
blog,13,1122,1104
blog,14,1149,1081
blog,15,1147,1089
news,1,1093,1132
news,2,1133,1096
news,3,1122,1090
news,4,1124,1096
news,5,1138,1098
news,6,1136,1102
news,7,1134,1097
news,8,1135,1101
news,9,1121,1104
news,10,1131,1106
news,11,1140,1093
news,12,1121,1091
news,13,1130,1104
news,14,1130,1101
news,15,1136,1095
unseen,1,4729,4704
unseen,2,5390,5379
unseen,3,2479,2540
unseen,4,6271,6284
unseen,5,3544,3578
unseen,6,4434,4450
unseen,7,819,788
unseen,8,8802,8945
unseen,9,5146,13049
unseen,10,1115,1073
unseen,11,4119,4107
unseen,12,4694,4701
unseen,13,3831,3794
unseen,14,1837,1788
unseen,15,7732,8006
