filename,total_words,total_sentences,mean_sentence_length,pct_long_words,lix_score
academic_ref_001.txt,1044,52,20.08,21.3,41.34
academic_ref_002.txt,1059,39,27.15,20.1,47.27
academic_ref_003.txt,1038,61,17.02,35.8,52.85
academic_ref_004.txt,1034,55,18.80,29.5,48.30
academic_ref_005.txt,1077,56,19.23,33.3,52.57
academic_ref_006.txt,1096,57,19.23,23.9,43.13
academic_ref_007.txt,1088,52,20.92,34.0,54.93
academic_ref_008.txt,1072,55,19.49,30.4,49.90
academic_ref_009.txt,1068,55,19.42,29.0,48.44
academic_ref_010.txt,1051,63,16.68,31.8,48.46
academic_ref_011.txt,1033,53,19.49,32.9,52.40
academic_ref_012.txt,1040,64,16.25,34.4,50.67
academic_ref_013.txt,1056,61,17.31,34.5,51.78
academic_ref_014.txt,1050,80,13.12,39.2,52.36
academic_ref_015.txt,1054,54,19.52,24.9,44.38
blog_ref_001.txt,1093,62,17.63,27.0,44.62
blog_ref_002.txt,1085,65,16.69,28.8,45.54
blog_ref_003.txt,1100,67,16.42,28.2,44.60
blog_ref_004.txt,1079,85,12.69,26.1,38.83
blog_ref_005.txt,1083,79,13.71,28.4,42.15
blog_ref_006.txt,1097,112,9.79,26.1,35.87
blog_ref_007.txt,1089,106,10.27,27.7,38.01
blog_ref_008.txt,1077,67,16.07,24.2,40.31
blog_ref_009.txt,1049,114,9.20,33.9,43.14
blog_ref_010.txt,1071,59,18.15,25.7,43.83
blog_ref_011.txt,1070,76,14.08,28.0,42.12
blog_ref_012.txt,1047,70,14.96,23.7,38.64
blog_ref_013.txt,1083,63,17.19,27.9,45.08
blog_ref_014.txt,1063,63,16.87,27.6,44.44
blog_ref_015.txt,1088,78,13.95,27.5,41.43
news_ref_001.txt,1045,108,9.68,28.5,38.19
news_ref_002.txt,1080,61,17.70,31.9,49.56
news_ref_003.txt,1088,59,18.44,26.3,44.73
news_ref_004.txt,1077,49,21.98,29.8,51.78
news_ref_005.txt,1045,113,9.25,23.7,32.98
news_ref_006.txt,1093,60,18.22,30.1,48.32
news_ref_007.txt,1079,67,16.10,25.6,41.68
news_ref_008.txt,1071,63,17.00,28.5,45.48
news_ref_009.txt,1099,79,13.91,27.2,41.12
news_ref_010.txt,1093,79,13.84,19.5,33.32
news_ref_011.txt,1084,74,14.65,23.1,37.71
news_ref_012.txt,1077,66,16.32,22.3,38.60
news_ref_013.txt,1100,58,18.97,26.7,45.69
news_ref_014.txt,1072,66,16.24,30.5,46.75
news_ref_015.txt,1044,86,12.14,29.2,41.35
