filename,total_words,exact_count,compound_count,proper_name_count,oov_count,archaic_icelandic_count,archaic_z_unverified_count,in_bin_ratio,exact_ratio,compound_ratio,proper_name_ratio,oov_ratio,archaic_icelandic_ratio,archaic_z_unverified_ratio
claude_sonnet46_academic_prompt_001.txt,1391,1332,10,32,17,0,0,0.987779,0.957584,0.007189,0.023005,0.012221,0.000000,0.000000
claude_sonnet46_academic_prompt_002.txt,2035,1804,40,31,160,0,0,0.921376,0.886486,0.019656,0.015233,0.078624,0.000000,0.000000
claude_sonnet46_academic_prompt_003.txt,1042,984,35,3,20,0,0,0.980806,0.944338,0.033589,0.002879,0.019194,0.000000,0.000000
claude_sonnet46_academic_prompt_004.txt,1461,1370,54,14,23,0,1,0.984257,0.937714,0.036961,0.009582,0.015743,0.000000,0.000684
claude_sonnet46_academic_prompt_005.txt,1653,1571,27,11,44,0,0,0.973382,0.950393,0.016334,0.006655,0.026618,0.000000,0.000000
claude_sonnet46_academic_prompt_006.txt,1660,1610,20,12,18,0,0,0.989157,0.969880,0.012048,0.007229,0.010843,0.000000,0.000000
claude_sonnet46_academic_prompt_007.txt,1505,1417,35,19,34,0,0,0.977409,0.941528,0.023256,0.012625,0.022591,0.000000,0.000000
claude_sonnet46_academic_prompt_008.txt,1954,1887,14,38,15,0,0,0.992323,0.965711,0.007165,0.019447,0.007677,0.000000,0.000000
claude_sonnet46_academic_prompt_009.txt,2078,1984,21,57,16,0,0,0.992300,0.954764,0.010106,0.027430,0.007700,0.000000,0.000000
claude_sonnet46_academic_prompt_010.txt,1759,1710,31,11,7,0,0,0.996020,0.972143,0.017624,0.006254,0.003980,0.000000,0.000000
claude_sonnet46_academic_prompt_011.txt,1629,1561,37,4,27,0,0,0.983425,0.958257,0.022713,0.002455,0.016575,0.000000,0.000000
claude_sonnet46_academic_prompt_012.txt,1066,979,13,10,64,0,2,0.939962,0.918386,0.012195,0.009381,0.060038,0.000000,0.001876
claude_sonnet46_academic_prompt_013.txt,1445,1250,63,6,126,0,1,0.912803,0.865052,0.043599,0.004152,0.087197,0.000000,0.000692
