filename,total_words,exact_count,compound_count,proper_name_count,oov_count,archaic_icelandic_count,archaic_z_unverified_count,in_bin_ratio,exact_ratio,compound_ratio,proper_name_ratio,oov_ratio,archaic_icelandic_ratio,archaic_z_unverified_ratio
academic_prompt_001.txt,1034,887,9,43,95,0,3,0.908124,0.857834,0.008704,0.041586,0.091876,0.000000,0.002901
academic_prompt_002.txt,1077,974,16,14,73,0,0,0.932219,0.904364,0.014856,0.012999,0.067781,0.000000,0.000000
academic_prompt_003.txt,1028,915,52,16,45,0,1,0.956226,0.890078,0.050584,0.015564,0.043774,0.000000,0.000973
academic_prompt_004.txt,1040,963,21,13,43,0,0,0.958654,0.925962,0.020192,0.012500,0.041346,0.000000,0.000000
academic_prompt_005.txt,1084,918,7,115,44,0,5,0.959410,0.846863,0.006458,0.106089,0.040590,0.000000,0.004613
academic_prompt_006.txt,1054,976,4,25,49,0,0,0.953510,0.925996,0.003795,0.023719,0.046490,0.000000,0.000000
academic_prompt_007.txt,1078,1005,19,31,23,0,0,0.978664,0.932282,0.017625,0.028757,0.021336,0.000000,0.000000
academic_prompt_008.txt,1101,1040,16,31,14,0,0,0.987284,0.944596,0.014532,0.028156,0.012716,0.000000,0.000000
academic_prompt_009.txt,1086,1011,8,55,12,0,0,0.988950,0.930939,0.007366,0.050645,0.011050,0.000000,0.000000
academic_prompt_010.txt,1073,1017,9,18,29,0,1,0.972973,0.947810,0.008388,0.016775,0.027027,0.000000,0.000932
academic_prompt_011.txt,1041,944,30,5,62,0,0,0.940442,0.906820,0.028818,0.004803,0.059558,0.000000,0.000000
academic_prompt_012.txt,1003,783,5,10,205,0,5,0.795613,0.780658,0.004985,0.009970,0.204387,0.000000,0.004985
academic_prompt_013.txt,965,692,39,16,218,0,2,0.774093,0.717098,0.040415,0.016580,0.225907,0.000000,0.002073
academic_prompt_014.txt,1047,866,54,34,93,0,0,0.911175,0.827125,0.051576,0.032474,0.088825,0.000000,0.000000
academic_prompt_015.txt,1070,956,20,12,82,0,0,0.923364,0.893458,0.018692,0.011215,0.076636,0.000000,0.000000
blog_prompt_001.txt,1105,1036,7,45,17,0,0,0.984615,0.937557,0.006335,0.040724,0.015385,0.000000,0.000000
blog_prompt_002.txt,1083,1013,11,51,8,0,0,0.992613,0.935365,0.010157,0.047091,0.007387,0.000000,0.000000
blog_prompt_003.txt,1075,1029,2,34,10,0,0,0.990698,0.957209,0.001860,0.031628,0.009302,0.000000,0.000000
blog_prompt_004.txt,1079,1011,5,23,40,0,0,0.962929,0.936979,0.004634,0.021316,0.037071,0.000000,0.000000
blog_prompt_005.txt,1074,1009,5,38,22,0,0,0.979516,0.939479,0.004655,0.035382,0.020484,0.000000,0.000000
blog_prompt_006.txt,1088,990,17,61,20,0,0,0.981618,0.909926,0.015625,0.056066,0.018382,0.000000,0.000000
blog_prompt_007.txt,1077,1011,11,47,8,0,0,0.992572,0.938719,0.010214,0.043640,0.007428,0.000000,0.000000
blog_prompt_008.txt,1059,823,6,54,176,0,2,0.833805,0.777148,0.005666,0.050992,0.166195,0.000000,0.001889
blog_prompt_009.txt,1063,813,11,148,91,0,0,0.914393,0.764817,0.010348,0.139229,0.085607,0.000000,0.000000
blog_prompt_010.txt,1064,988,5,54,17,0,0,0.984023,0.928571,0.004699,0.050752,0.015977,0.000000,0.000000
blog_prompt_011.txt,1094,1010,2,63,19,0,1,0.982633,0.923218,0.001828,0.057587,0.017367,0.000000,0.000914
blog_prompt_012.txt,1094,1009,9,51,25,0,2,0.977148,0.922303,0.008227,0.046618,0.022852,0.000000,0.001828
blog_prompt_013.txt,1067,956,3,95,13,0,0,0.987816,0.895970,0.002812,0.089035,0.012184,0.000000,0.000000
blog_prompt_014.txt,1107,1057,16,20,14,0,0,0.987353,0.954833,0.014453,0.018067,0.012647,0.000000,0.000000
blog_prompt_015.txt,1108,1069,7,27,5,0,0,0.995487,0.964801,0.006318,0.024368,0.004513,0.000000,0.000000
news_prompt_001.txt,1014,926,5,45,38,0,1,0.962525,0.913215,0.004931,0.044379,0.037475,0.000000,0.000986
news_prompt_002.txt,1083,1020,3,28,32,0,4,0.970452,0.941828,0.002770,0.025854,0.029548,0.000000,0.003693
news_prompt_003.txt,1056,985,11,28,32,0,0,0.969697,0.932765,0.010417,0.026515,0.030303,0.000000,0.000000
news_prompt_004.txt,1065,986,7,43,29,0,1,0.972770,0.925822,0.006573,0.040376,0.027230,0.000000,0.000939
news_prompt_005.txt,1074,994,8,43,29,0,0,0.972998,0.925512,0.007449,0.040037,0.027002,0.000000,0.000000
news_prompt_006.txt,1084,991,2,53,38,0,0,0.964945,0.914207,0.001845,0.048893,0.035055,0.000000,0.000000
news_prompt_007.txt,1063,953,11,43,56,0,0,0.947319,0.896519,0.010348,0.040452,0.052681,0.000000,0.000000
news_prompt_008.txt,1063,935,3,67,58,0,2,0.945437,0.879586,0.002822,0.063029,0.054563,0.000000,0.001881
news_prompt_009.txt,1063,1001,3,43,16,0,0,0.984948,0.941675,0.002822,0.040452,0.015052,0.000000,0.000000
news_prompt_010.txt,1077,948,9,47,73,0,0,0.932219,0.880223,0.008357,0.043640,0.067781,0.000000,0.000000
news_prompt_011.txt,1095,1036,3,30,26,0,0,0.976256,0.946119,0.002740,0.027397,0.023744,0.000000,0.000000
news_prompt_012.txt,1051,959,11,56,25,0,0,0.976213,0.912464,0.010466,0.053283,0.023787,0.000000,0.000000
news_prompt_013.txt,1075,992,11,44,28,0,1,0.973953,0.922791,0.010233,0.040930,0.026047,0.000000,0.000930
news_prompt_014.txt,1070,956,3,62,49,0,0,0.954206,0.893458,0.002804,0.057944,0.045794,0.000000,0.000000
news_prompt_015.txt,1007,758,17,80,152,0,2,0.849057,0.752731,0.016882,0.079444,0.150943,0.000000,0.001986
unseen_prompt_001.txt,4645,4391,36,174,44,0,0,0.990527,0.945318,0.007750,0.037460,0.009473,0.000000,0.000000
unseen_prompt_002.txt,5335,5124,28,73,110,0,1,0.979381,0.960450,0.005248,0.013683,0.020619,0.000000,0.000187
unseen_prompt_003.txt,2439,2272,10,112,45,0,0,0.981550,0.931529,0.004100,0.045920,0.018450,0.000000,0.000000
unseen_prompt_004.txt,6202,5898,58,57,189,0,4,0.969526,0.950984,0.009352,0.009191,0.030474,0.000000,0.000645
unseen_prompt_005.txt,3497,3332,26,89,50,0,3,0.985702,0.952817,0.007435,0.025450,0.014298,0.000000,0.000858
unseen_prompt_006.txt,4365,4052,46,63,204,0,4,0.953265,0.928293,0.010538,0.014433,0.046735,0.000000,0.000916
unseen_prompt_007.txt,772,760,6,2,4,0,0,0.994819,0.984456,0.007772,0.002591,0.005181,0.000000,0.000000
unseen_prompt_008.txt,8747,8121,42,240,344,0,0,0.960672,0.928433,0.004802,0.027438,0.039328,0.000000,0.000000
unseen_prompt_009.txt,5091,4749,23,149,170,0,0,0.966608,0.932823,0.004518,0.029267,0.033392,0.000000,0.000000
unseen_prompt_010.txt,1072,977,12,41,42,0,0,0.960821,0.911381,0.011194,0.038246,0.039179,0.000000,0.000000
unseen_prompt_011.txt,4072,3791,27,28,226,0,0,0.944499,0.930992,0.006631,0.006876,0.055501,0.000000,0.000000
unseen_prompt_012.txt,4650,4366,23,33,228,0,0,0.950968,0.938925,0.004946,0.007097,0.049032,0.000000,0.000000
unseen_prompt_013.txt,3784,3496,49,70,169,0,0,0.955338,0.923890,0.012949,0.018499,0.044662,0.000000,0.000000
unseen_prompt_014.txt,1797,1719,20,12,46,0,0,0.974402,0.956594,0.011130,0.006678,0.025598,0.000000,0.000000
unseen_prompt_015.txt,7678,7372,37,61,208,0,0,0.972910,0.960146,0.004819,0.007945,0.027090,0.000000,0.000000
