filename,total_sentences,mean_tree_depth,std_tree_depth,pct_complex_trees,total_ip_sub,mean_ip_sub_nesting
academic_ref_001_parsed.psd,47,8.34,3.14,100.0,76,0.64
academic_ref_002_parsed.psd,38,10.32,3.77,100.0,104,0.93
academic_ref_003_parsed.psd,62,8.00,2.61,98.4,46,0.26
academic_ref_004_parsed.psd,51,8.02,2.80,100.0,59,0.37
academic_ref_005_parsed.psd,56,8.46,3.36,100.0,60,0.67
academic_ref_006_parsed.psd,52,8.50,4.00,100.0,83,0.71
academic_ref_007_parsed.psd,46,9.37,3.61,100.0,62,0.47
academic_ref_008_parsed.psd,53,8.30,2.87,100.0,75,0.51
academic_ref_009_parsed.psd,53,8.75,3.61,100.0,55,0.69
academic_ref_010_parsed.psd,61,7.89,2.89,100.0,57,0.30
academic_ref_011_parsed.psd,50,8.38,2.95,100.0,60,0.50
academic_ref_012_parsed.psd,59,7.58,3.93,94.9,62,0.40
academic_ref_013_parsed.psd,53,8.00,2.97,98.1,52,0.50
academic_ref_014_parsed.psd,89,6.27,2.31,100.0,29,0.28
academic_ref_015_parsed.psd,53,9.11,2.92,100.0,67,0.36
blog_ref_001_parsed.psd,60,9.17,3.62,100.0,92,0.72
blog_ref_002_parsed.psd,64,8.02,2.91,100.0,71,0.49
blog_ref_003_parsed.psd,65,8.31,3.68,100.0,59,0.47
blog_ref_004_parsed.psd,78,7.38,3.08,100.0,72,0.47
blog_ref_005_parsed.psd,78,6.95,2.67,100.0,68,0.43
blog_ref_006_parsed.psd,110,5.96,2.13,100.0,53,0.19
blog_ref_007_parsed.psd,106,5.92,1.92,99.1,42,0.17
blog_ref_008_parsed.psd,61,8.56,3.52,100.0,77,0.51
blog_ref_009_parsed.psd,83,6.83,2.78,97.6,54,0.35
blog_ref_010_parsed.psd,59,8.05,3.03,100.0,66,0.59
blog_ref_011_parsed.psd,76,6.75,2.52,100.0,50,0.32
blog_ref_012_parsed.psd,68,7.79,3.23,100.0,78,0.54
blog_ref_013_parsed.psd,64,8.20,3.43,98.4,75,0.45
blog_ref_014_parsed.psd,58,8.50,3.20,100.0,71,0.44
blog_ref_015_parsed.psd,75,7.09,2.47,100.0,55,0.40
news_ref_001_parsed.psd,81,5.93,2.78,95.1,36,0.25
news_ref_002_parsed.psd,61,8.08,2.89,100.0,64,0.59
news_ref_003_parsed.psd,54,8.35,3.06,100.0,60,0.50
news_ref_004_parsed.psd,46,9.48,4.21,95.7,68,0.72
news_ref_005_parsed.psd,100,5.90,2.41,100.0,41,0.27
news_ref_006_parsed.psd,59,8.17,2.66,100.0,60,0.35
news_ref_007_parsed.psd,62,8.32,3.33,100.0,80,0.66
news_ref_008_parsed.psd,62,7.74,3.45,100.0,39,0.21
news_ref_009_parsed.psd,76,7.70,2.51,100.0,75,0.32
news_ref_010_parsed.psd,70,7.43,2.74,100.0,56,0.36
news_ref_011_parsed.psd,59,8.32,3.42,98.3,92,0.74
news_ref_012_parsed.psd,64,7.42,2.89,100.0,56,0.59
news_ref_013_parsed.psd,55,8.71,3.10,100.0,81,0.58
news_ref_014_parsed.psd,62,7.50,2.34,100.0,52,0.38
news_ref_015_parsed.psd,64,6.75,3.44,98.4,41,0.29
unseen_ref_001_parsed.psd,503,5.38,2.68,94.6,260,0.38
unseen_ref_002_parsed.psd,385,7.13,2.80,100.0,364,0.43
unseen_ref_003_parsed.psd,181,7.38,3.33,100.0,159,0.55
unseen_ref_004_parsed.psd,430,7.29,3.26,99.5,441,0.44
unseen_ref_005_parsed.psd,266,7.08,3.16,98.1,231,0.36
unseen_ref_006_parsed.psd,253,8.19,3.81,99.6,323,0.62
unseen_ref_007_parsed.psd,62,7.00,2.95,100.0,58,0.40
unseen_ref_008_parsed.psd,558,7.80,3.63,99.3,626,0.55
unseen_ref_009_parsed.psd,1000,6.84,3.17,98.9,895,0.39
unseen_ref_010_parsed.psd,68,8.15,3.66,100.0,75,0.57
unseen_ref_011_parsed.psd,293,7.14,2.92,98.3,212,0.29
unseen_ref_012_parsed.psd,394,6.50,2.64,99.5,260,0.33
unseen_ref_013_parsed.psd,312,6.70,2.99,99.0,228,0.37
unseen_ref_014_parsed.psd,154,6.36,2.86,97.4,123,0.34
unseen_ref_015_parsed.psd,672,6.52,2.85,99.6,508,0.35
